Model,AIC,parname,pars
BF_M1v2,-59.0371457450895,rho,0.168719146263689
BF_M1v2,-59.0371457450895,delta,0.099313286104675
BF_M1v2,-59.0371457450895,rho_dko,0.0788489459067734
BF_M1v2,-59.0371457450895,delta_dko,0.0815289032564363
BF_M0v2,-61.4564200185809,rho,0.169138478665086
BF_M0v2,-61.4564200185809,delta,0.0901869072641994
BF_M0v2,-61.4564200185809,rho_dko,0.0892875540891944
BF_M0,-61.6634996111685,rho,0.164443792770825
BF_M0,-61.6634996111685,delta,0.0775729726485734
BF_M0,-61.6634996111685,rho_dko,0.078393013595925
BF_M0,-58.5408374113044,rho,0.110684685779955
BF_M0,-58.5408374113044,delta,0.0318705466229894
BF_M0,-58.5408374113044,rho_dko,0.042854135426573
BF_M0,-58.5408374113044,r_eps,3.96250503682958
