Model,AIC,parname,pars,logl,realAIC,DeltaAIC
M0.1,73.91434123,rho,0.174598914,33.95717061,-61.914,0.000
M0.1,73.91434123,delta,0.068596569,33.95717061,-61.914,0.000
M0.1,73.91434123,rho_dko,0.076515208,33.95717061,-61.914,0.000
M0.2,72.4237949,rho,0.11273274,33.21189745,-60.424,1.490
M0.2,72.4237949,delta,0.029757323,33.21189745,-60.424,1.490
M0.2,72.4237949,rho_dko,0.042482994,33.21189745,-60.424,1.490
M0.3,72.06734355,rho,0.094529456,33.03367177,-60.067,1.847
M0.3,72.06734355,delta,0.022899467,33.03367177,-60.067,1.847
M0.3,72.06734355,rho_dko,0.035162393,33.03367177,-60.067,1.847
M1.1,76.46240156,rho,0.169774138,34.23120078,-60.462,1.452
M1.1,76.46240156,delta,0.06285106,34.23120078,-60.462,1.452
M1.1,76.46240156,rho_dko,0.087850271,34.23120078,-60.462,1.452
M1.1,76.46240156,delta_dko,0.081259804,34.23120078,-60.462,1.452
M1.2,77.05275922,rho,0.11056638,34.52637961,-61.053,0.861
M1.2,77.05275922,delta,0.020311302,34.52637961,-61.053,0.861
M1.2,77.05275922,rho_dko,0.056952559,34.52637961,-61.053,0.861
M1.2,77.05275922,delta_dko,0.045420834,34.52637961,-61.053,0.861
M1.3,77.5960522,rho,0.095298072,34.7980261,-61.596,0.318
M1.3,77.5960522,delta,0.010029934,34.7980261,-61.596,0.318
M1.3,77.5960522,rho_dko,0.049905667,34.7980261,-61.596,0.318
M1.3,77.5960522,delta_dko,0.03673917,34.7980261,-61.596,0.318
M2,-45.40857712,rho,0.173344632,25.70428856,-45.409,16.505
M2,-45.40857712,delta,1.06E-10,25.70428856,-45.409,16.505
M2,-45.40857712,rho_dko,0.022456957,25.70428856,-45.409,16.505
M3,-36.84996466,rho,0.139024393,21.42498233,-36.850,25.064
M3,-36.84996466,delta,2.11E-08,21.42498233,-36.850,25.064
M3,-36.84996466,rho_dko,0.021125429,21.42498233,-36.850,25.064
M3,-36.84996466,alpha,0.999999989,21.42498233,-36.850,25.064M0v2,-62.5438694649759,rho,0.120130651269033
M0v2,-62.5438694649759,delta,0.0395972318289635
M0v2,-62.5438694649759,rho_dko,0.0508793153656803
M0v2.1,-61.872845263749,rho,0.612663254207767
M0v2.1,-61.872845263749,delta,0.080793517822058
M0v2.1,-61.872845263749,rho_dko,0.12670733390291
M1v2.1,-61.1214305723039,rho,0.118042881875262
M1v2.1,-61.1214305723039,delta,0.0363454926650083
M1v2.1,-61.1214305723039,rho_dko,0.0577937472552159
M1v2.1,-61.1214305723039,delta_dko,0.0473648936861524
